definition,stem,keyword,score
Investigación Operativa,model,modelo,1
Investigación Operativa,decision,decisión,1
Investigación Operativa,matemat,matemática,1
Investigación Operativa,numer,numérico,1
Investigación Operativa,cuantit,cuatitativo,1
Investigación Operativa,analisis,análisis,1
Investigación Operativa,cienci,ciencia,1
Investigación Operativa,cientif,científico,1
Investigación Operativa,optimiz,optimización,1
Investigación Operativa,optimizacion,optimización,1
Investigación Operativa,proyect,proyecto,1
Investigación Operativa,algoritm,algoritmo,1
Investigación Operativa,problem,problema,1
Investigación Operativa,herramient,herramienta,1
Simplex,algoritm,algoritmo,1
Simplex,program,programación,1
Simplex,problem,problemas,1
Simplex,resolu,resolución,0.5
Simplex,lineal,lineal,1
Algoritmo,conjunt,conjunto,1
Algoritmo,orden,ordenado,1
Algoritmo,seri,serie,1
Algoritmo,oper,operación,1
Algoritmo,secuenci,secuencia,1
Algoritmo,pas,pasos,1
Algoritmo,resolv,resolver,1
Algoritmo,problem,problema,1
Algoritmo,objet,objetivo,1
Modelo,represent,representación,1
Modelo,realid,realidad,1
Modelo,estudi,estudiar,1
Modelo,explic,explicar,1
Modelo,predec,predecir,1
Modelo,simbol,simbólica,1
Modelo,simpl,simple,1
Modelo,usar,usar,1
Modelo,usabl,usable,1
Modelo,sistem,sistema,1